part_of_speech;rule_name;target_part_of_speech
CC;REMOVE;CC
CD;NUMBER;CD
DT;REMOVE;DT
EX;LEMMA;RB
FW;REMOVE;FW
IN;NO_LEMMA;IN
JJ;NO_LEMMA;JJ
JJR;LEMMA;JJ
JJS;LEMMA;JJ
LS;REMOVE;LS
MD;NO_LEMMA;MD
NN;NO_LEMMA;NN
NNS;LEMMA;NN
NNP;REMOVE;NNP
NNPS;REMOVE;NNPS
PDT;NO_LEMMA;PDT
POS;REMOVE;POS
PRP;NO_LEMMA;PRP
PRP$;NO_LEMMA;PRP$
RB;NO_LEMMA;RB
RBR;LEMMA;RB
RBS;LEMMA;RB
RP;NO_LEMMA;RP
SYM;REMOVE;SYM
TO;REMOVE;TO
UH;REMOVE;UH
VB;NO_LEMMA;VB
VBD;LEMMA;VB
VBG;LEMMA;VB
VBN;LEMMA;VB
VBP;LEMMA;VB
VBZ;LEMMA;VB
WDT;NO_LEMMA;WDT
WP;NO_LEMMA;WP
WP$;NO_LEMMA;WP$
WRB;NO_LEMMA;WRB
